component_01,component_02,roiName
0.0184749692340384,0.0189946184645526,Parcel_179
0.0193595685284576,0.0203557774662666,Parcel_180
0.0319121395276764,0.0346841916976455,Parcel_181
0.0317718836182466,0.0311885880726058,Parcel_182
0.0248054103989784,0.0265390011612173,Parcel_183
0.0191654597953051,0.016865961383773,Parcel_184
0.00890003443243972,0.00849568061178203,Parcel_185
0.0052624648676446,0.00612550999069934,Parcel_186
0.0407919140749371,0.0412870562626964,Parcel_187
0.0511538145407944,0.04957108702877,Parcel_188
0.0564181799460289,0.0508172110284178,Parcel_189
0.0200188840673833,0.0166613142912796,Parcel_190
0.0466535007118554,0.0437212282395018,Parcel_191
0.0369518481624284,0.0339703134019062,Parcel_192
0.0442978300289186,0.0403826589446067,Parcel_193
0.0558856698131044,0.0506160973529449,Parcel_194
0.0615510943936925,0.0569054379407201,Parcel_195
0.05025065948307,0.0439681768568957,Parcel_196
0.0505054937336466,0.051720243985876,Parcel_197
0.0513806468816645,0.0499141622314041,Parcel_198
0.0414349216748094,0.0411715689336597,Parcel_199
0.0530910247173669,0.0522376213084566,Parcel_200
0.040403879475005,0.0400888978753579,Parcel_201
0.0512409246775681,0.0495181504754914,Parcel_202
0.0342043888738222,0.0314958792327921,Parcel_203
0.0361647119677679,0.031870813425346,Parcel_204
0.0545060553530981,0.052467304258224,Parcel_205
0.0583160123182563,0.0582481643738946,Parcel_206
0.0491614174957725,0.0454288024000512,Parcel_207
0.0494390502540936,0.046286612686606,Parcel_208
0.0473220365961702,0.0471447657372072,Parcel_209
0.0447816790989424,0.0437892468004659,Parcel_210
0.0325507375111561,0.0328160685351887,Parcel_211
0.0386637573328461,0.0381471514512841,Parcel_212
0.0234846098718462,0.0223045889515665,Parcel_213
0.028028135657206,0.0283128903442496,Parcel_214
0.0450455766803895,0.0409350523501974,Parcel_215
0.0604176240801449,0.0563916409202453,Parcel_216
0.054538263717822,0.0519854756972896,Parcel_217
0.0543638572340465,0.0503156968660695,Parcel_218
0.034170073966035,0.0332489799641163,Parcel_219
0.0417255922355584,0.0411687002703947,Parcel_220
0.0537800633785163,0.0457675678671355,Parcel_221
0.0632241581820307,0.0497605341089141,Parcel_222
0.0450494765427647,0.0419218653346847,Parcel_223
0.0461515911817419,0.0413630456169674,Parcel_224
0.0503450800226512,0.0518388112590602,Parcel_225
0.0537005319012149,0.0549170479763591,Parcel_226
0.0346149241639732,0.0351555055847333,Parcel_227
0.0391512886250516,0.0368358215206842,Parcel_228
0.015085367827066,0.0158704963951001,Parcel_229
0.0300642268569952,0.0274409147261399,Parcel_230
0.0261904985596316,0.0259189592794117,Parcel_231
0.0329537684424763,0.0323563972361692,Parcel_232
0.0454447172346209,0.0425964878638767,Parcel_233
0.040611880418346,0.0381458694959752,Parcel_234
0.0323687406660624,0.035649193969452,Parcel_235
0.0231143168932023,0.0234896609782485,Parcel_236
0.0457241007300761,0.0468234288773147,Parcel_237
0.0416699254701811,0.0463740657606786,Parcel_238
0.032917030076008,0.0336837742093915,Parcel_239
0.0445079177559834,0.0430809281506932,Parcel_240
0.0480332311184182,0.0451761508370447,Parcel_241
0.0819786245254595,0.0801063775770152,Parcel_242
0.0253357599835111,0.0268206239887447,Parcel_243
0.0168208430694695,0.017869796359876,Parcel_244
0.0244555350458744,0.0212856497024626,Parcel_245
0.028537163547297,0.0283212082034275,Parcel_246
0.0368112052475592,0.0353743118962226,Parcel_247
0.0544191233346589,0.0500886413212945,Parcel_248
0.0383692098786466,0.0368046234846275,Parcel_249
0.0471512842030881,0.0463084621831446,Parcel_250
0.0487792916106769,0.046901528928044,Parcel_251
0.041235110945648,0.0431392121561281,Parcel_252
0.02870113653047,0.0289151675015392,Parcel_253
0.0322078751358496,0.0305895769665248,Parcel_254
0.0369206920412767,0.0343502923344677,Parcel_255
0.047201896581706,0.0464715828862589,Parcel_256
0.0560219912199958,0.0523857585145303,Parcel_257
0.0432901481080381,0.0420288525655013,Parcel_258
0.034882951305656,0.0326930459314791,Parcel_259
0.0427915042695064,0.0404438685900071,Parcel_260
0.0211992242100693,0.0210112419959841,Parcel_261
0.0256768529833633,0.024731069757865,Parcel_262
0.0195555012842748,0.0186220130113778,Parcel_263
0.0376595934400772,0.0382816412173284,Parcel_264
0.0259284040085359,0.0290450287015733,Parcel_265
0.0380086319499167,0.0388830112061027,Parcel_266
0.0133272878013406,0.0137626142456718,Parcel_267
0.0167867527560559,0.0169909094387837,Parcel_268
0.0178154865494736,0.01782670831698,Parcel_269
0.0195119756022386,0.0195390534301663,Parcel_270
0.0210693356131913,0.0231165413122883,Parcel_271
0.020139429394074,0.0206316018453683,Parcel_272
0.0357386508791889,0.0381469003544856,Parcel_273
0.0458979611384384,0.0475687903075788,Parcel_274
0.0394751862506396,0.0454413970265935,Parcel_275
0.03654696757278,0.0434264539633898,Parcel_276
0.0484989996448905,0.0455709649816247,Parcel_277
0.0448802354036843,0.0433164199248521,Parcel_278
0.0368632717705063,0.0392693088839143,Parcel_279
0.0424354002023343,0.0432350947980616,Parcel_280
0.030195618456743,0.0306882338349437,Parcel_281
0.0258118537245129,0.0256963287859774,Parcel_282
0.0398764256012639,0.0389545309090696,Parcel_283
0.0691407923040188,0.0682871627483548,Parcel_284
0.0329912396009573,0.0351160513257348,Parcel_285
0.0454204700195478,0.0476771493267939,Parcel_286
0.0353571879906575,0.0319372697504213,Parcel_287
0.0341124386887418,0.0300179378886922,Parcel_288
0.045000514791151,0.0427977781067933,Parcel_289
0.0509276360827789,0.0510676178719123,Parcel_290
0.0345800199101143,0.035713488903001,Parcel_291
0.0529952771059829,0.055204570620416,Parcel_292
0.0341895438325273,0.0356744292346956,Parcel_293
0.0384071908681219,0.0390121768671279,Parcel_294
0.0407640419956307,0.0417007424117788,Parcel_295
0.0446475354294587,0.0443315377573786,Parcel_296
0.0452021943741729,0.044021796578121,Parcel_297
0.0469963991295685,0.0427856661198509,Parcel_298
0.0436580410809842,0.040418979021174,Parcel_299
0.03634062445432,0.0349621602258645,Parcel_300
0.0470728920833557,0.0447288467981784,Parcel_301
0.0518727461710787,0.0493289238384123,Parcel_302
0.0477865949145633,0.0493861748342924,Parcel_303
0.0515285092441979,0.0559098116863644,Parcel_304
0.0564222212428175,0.052086119973875,Parcel_305
