component_01,component_02,component_03,component_04,component_05,component_06,roiName
0.0442892794419061,0.0447905187048175,0.0435760043828032,0.0456005909970853,0.0424372809983267,0.0446377001108699,Parcel_019
0.0449200252217656,0.0451355123226057,0.0434906184076309,0.0449214173058013,0.0435012735691603,0.0444355279682372,Parcel_020
0.0487213993931322,0.0493955079994029,0.0462318098840131,0.0505871439454716,0.0434578306461704,0.0497243847853502,Parcel_021
0.0508625235360334,0.0531575041264558,0.0486867342604832,0.052794498114344,0.0466541008341637,0.0509278941123038,Parcel_022
0.0406182977975922,0.0419439616235321,0.0403161852198796,0.0405103682792582,0.0384573524808217,0.0412063542867328,Parcel_023
0.0396161206195425,0.0408317404478871,0.0387168380133292,0.039270379209427,0.038492045183227,0.039865456788111,Parcel_024
0.0462994581174851,0.0453745317849859,0.0479783660738656,0.041997379656166,0.0493615193214027,0.0444878296377462,Parcel_025
0.0449141572759172,0.0436586717845088,0.0472120702134045,0.0424585254348522,0.046166542050712,0.0439380710487126,Parcel_026
0.0542483889201993,0.0553374098297552,0.0526605165295044,0.0560071549622354,0.0528265294203964,0.0570811406973714,Parcel_027
0.0757177170876003,0.0738698199407415,0.0765392749847702,0.0710960956172698,0.0797481294016662,0.078779711340329,Parcel_028
0.0589019392105011,0.0599723294441775,0.0591707372201536,0.0586530739436734,0.0566542373267466,0.0617602294492603,Parcel_029
0.070131447389457,0.0714736153047549,0.0714648566818842,0.0668778978896807,0.0706302131940138,0.0726436456256313,Parcel_030
0.0709975802183675,0.0660156300512249,0.0722806466679902,0.0665721949698175,0.0722517457730276,0.0645714194342738,Parcel_031
0.0397423706195636,0.0382282497099966,0.0407450695554817,0.0351783439802588,0.0413159195225955,0.0395558091532448,Parcel_032
0.0689012132574732,0.0652653661374129,0.068045697558312,0.0659880029736261,0.0668570857030386,0.0628753053822645,Parcel_033
0.0349178925061921,0.0335606245369414,0.0361153932120112,0.0332977180937496,0.0347651003003148,0.034838147172625,Parcel_034
0.0599578812729344,0.0549261891174014,0.0626793776054233,0.0556186814058627,0.063334985275145,0.0560631227533584,Parcel_035
0.0529690285577815,0.049195731310878,0.0522650409362339,0.049158874136907,0.0548020330167327,0.0459990349005089,Parcel_036
0.0402530911911586,0.0358269584459354,0.0423725062814574,0.0370803102826265,0.0403190804132524,0.037075997866708,Parcel_037
0.0391252859200611,0.0375958212518296,0.0390988303247215,0.0362457005035385,0.0370980375601389,0.0385047872176537,Parcel_038
0.0277557674366887,0.0250279832569328,0.0297091742150804,0.0264667355022418,0.0302103451556493,0.0272551001920557,Parcel_039
0.0396307022537115,0.0360318186510849,0.0426328018453345,0.0373950413817874,0.0420114651988589,0.0409717496007999,Parcel_040
0.0371256541943129,0.0324645817870313,0.0411115318365542,0.0344174856798663,0.0413935113438954,0.0361901350738504,Parcel_041
0.0409755688118575,0.0379509304428602,0.0430328737588234,0.0391593352901684,0.0454375013051166,0.0398142756201888,Parcel_042
0.0437126842428413,0.0374692171890519,0.0494249615449429,0.037463415096949,0.0500939926960401,0.0415445132816934,Parcel_043
0.0546562874753088,0.0491032258543321,0.0584498213421701,0.0501531559979994,0.0618908670963282,0.0504270163205999,Parcel_044
0.0387070319334368,0.038069937492165,0.0392208166780613,0.0414225574764919,0.0392753237033649,0.0395316580016805,Parcel_045
0.0343391087495461,0.0336767933919507,0.0344169288906869,0.035411213956007,0.032707952333736,0.0352333416574698,Parcel_046
0.058537706365203,0.0609304672686301,0.05585719392141,0.0622176870954975,0.0547830769356589,0.0598908879366129,Parcel_047
0.0498646874932984,0.0520055010402826,0.0478954160075429,0.0539580185165503,0.0462783040181228,0.0526371149215743,Parcel_048
0.0362520096697819,0.037182389081777,0.03630336879923,0.0367733474431129,0.0360971207778474,0.0389064088631613,Parcel_049
0.0413450822166312,0.041583199616875,0.0411281977163751,0.0412234190542541,0.0410170008029023,0.0411786450949126,Parcel_050
0.0457949466755804,0.0477900186882863,0.0457762837985381,0.0427824474516165,0.0494584652027605,0.0467593875886464,Parcel_051
0.0642871483982618,0.0646567276676798,0.065980894312133,0.0593701717783287,0.0689114557594325,0.0630166255961526,Parcel_052
0.047657450881458,0.047410739678397,0.0478980393210894,0.0469320456428906,0.047474588455486,0.0472282235133049,Parcel_053
0.0542093319982105,0.0542627954651571,0.053840363754788,0.051768737259305,0.0561150570579454,0.0528613617832191,Parcel_054
0.0377098694871396,0.0388747577637607,0.0374523533496513,0.0380870873610131,0.0374267289600957,0.0394531930632102,Parcel_055
0.0460717490376328,0.0464722631627734,0.045945637703284,0.0464573740658516,0.0454395279629387,0.0455674275142333,Parcel_056
